Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2007-09-19,21.19,21.08,20.39,21.05,,500357.0
2007-09-20,21.25,21.0,20.9075,21.07,,300551.0
2007-09-21,21.37,21.06,20.89,21.08,,490719.0
2007-09-24,22.01,21.62,21.05,21.13,,352005.0
2007-09-25,21.75,21.46,21.13,21.47,,482125.0
2007-09-26,21.61,21.18,20.9,21.56,,306488.0
2007-09-27,21.28,20.72,20.5,21.25,,539351.0
2007-09-28,21.21,20.95,20.5,20.71,,399032.0
2007-10-01,22.43,22.04,20.56,21.0,,508204.0
2007-10-02,22.48,22.09,21.62,22.11,,218136.0
2007-10-03,22.73,22.6601,21.1,21.96,,487413.0
2007-10-04,24.65,24.23,23.2,23.61,,890768.0
2007-10-05,24.82,24.42,24.0,24.23,,396378.0
2007-10-08,24.65,24.02,23.61,24.4,,475443.0
2007-10-09,25.44,25.32,24.14,24.14,,488819.0
2007-10-10,26.48,26.33,24.87,25.3,,553250.0
2007-10-11,29.15,28.25,26.64,26.64,,972336.0
2007-10-12,29.69,29.19,28.25,28.5,,631418.0
2007-10-15,30.22,28.49,28.25,29.62,,642615.0
2007-10-16,28.49,27.69,27.56,28.49,,732634.0
2007-10-17,28.15,27.96,27.43,28.0,,642120.0
2007-10-18,28.15,27.48,27.4,28.0,,471842.0
2007-10-19,27.9,27.22,26.89,27.4,,516487.0
2007-10-22,27.79,27.73,25.53,26.6,,485457.0
2007-10-23,28.88,28.81,27.68,27.79,,636290.0
2007-10-24,28.82,28.66,27.53,28.66,,422962.0
2007-10-25,29.16,28.04,27.55,28.73,,245289.0
2007-10-26,29.25,29.25,28.1201,28.15,,244370.0
2007-10-29,29.44,28.39,28.05,29.3,,334017.0
2007-10-30,29.25,28.64,27.75,28.13,,247375.0
2007-10-31,29.56,29.49,28.33,28.85,,276119.0
2007-11-01,29.74,29.25,28.55,29.34,,334805.0
2007-11-02,29.65,28.69,28.12,29.39,,281038.0
2007-11-05,29.19,28.89,28.4,28.63,,321300.0
2007-11-06,30.356,30.32,29.03,29.07,,342740.0
2007-11-07,30.0,28.65,28.18,29.89,,519813.0
2007-11-08,29.8,29.64,28.26,28.89,,531178.0
2007-11-09,29.39,28.54,28.35,29.39,,350210.0
2007-11-12,28.77,26.94,26.68,28.5,,297768.0
2007-11-13,27.6,27.56,27.01,27.08,,472682.0
2007-11-14,29.45,28.96,27.41,27.61,,304327.0
2007-11-15,28.9,27.49,27.22,28.77,,326974.0
2007-11-16,28.17,27.92,26.69,27.65,,396320.0
2007-11-19,27.64,26.66,26.18,26.98,,317034.0
2007-11-20,27.86,27.47,26.53,26.56,,275508.0
2007-11-21,27.4,25.73,25.64,27.4,,394838.0
2007-11-23,26.162,25.58,25.2,25.95,,192514.0
2007-11-26,26.25,25.5,25.18,25.38,,285968.0
2007-11-27,26.12,25.34,25.06,25.43,,346505.0
2007-11-28,26.59,26.26,25.64,25.77,,324022.0
2007-11-29,27.14,26.49,26.04,26.26,,245048.0
2007-11-30,27.08,26.09,25.94,26.74,,265082.0
2007-12-03,27.82,27.16,25.9001,25.93,,245651.0
2007-12-04,27.14,26.62,26.24,26.96,,290471.0
2007-12-05,27.95,27.71,26.61,27.01,,193894.0
2007-12-06,28.15,28.15,27.53,27.74,,193727.0
2007-12-07,28.44,27.82,27.52,28.27,,132162.0
2007-12-10,27.41,25.58,25.08,27.41,,476479.0
2007-12-11,25.26,23.67,23.67,25.17,,583283.0
2007-12-12,25.8,25.18,24.0,24.0,,343912.0
2007-12-13,24.95,24.34,23.95,24.95,,219788.0
2007-12-14,24.87,24.15,24.0,24.17,,227420.0
2007-12-17,24.03,21.53,21.29,24.03,,754777.0
2007-12-18,22.044,21.09,20.86,21.71,,400895.0
2007-12-19,21.36,20.67,20.6101,20.98,,302964.0
2007-12-20,21.68,21.4,20.26,20.78,,377755.0
2007-12-21,24.95,24.4,21.99,22.27,,1522688.0
2007-12-24,24.1499,23.12,23.07,24.0,,416795.0
2007-12-26,23.78,23.48,22.81,22.85,,487490.0
2007-12-27,23.28,22.41,22.41,23.28,,326658.0
2007-12-28,23.1,22.42,22.31,22.32,,301010.0
2007-12-31,22.55,21.82,21.74,22.31,,349317.0
2008-01-02,22.52,21.83,21.57,21.82,,475571.0
2008-01-03,21.98,21.44,21.21,21.73,,371852.0
2008-01-04,21.68,20.12,20.0,21.05,,414623.0
2008-01-07,20.53,19.2,18.99,20.14,,580301.0
2008-01-08,20.19,18.87,18.75,18.98,,656231.0
2008-01-09,20.41,20.34,17.89,18.34,,1026065.0
2008-01-10,21.8,21.37,20.77,21.37,,920041.0
2008-01-11,23.0,21.97,20.89,21.37,,886609.0
2008-01-14,22.29,21.46,21.14,22.08,,394185.0
2008-01-15,21.88,20.13,20.06,21.08,,518934.0
2008-01-16,20.65,19.81,19.26,20.04,,359591.0
2008-01-17,20.0,18.98,18.9,19.92,,457980.0
2008-01-18,19.66,18.6,18.2401,18.94,,534515.0
2008-01-22,18.0,17.5,16.1,17.72,,920651.0
2008-01-23,17.21,17.13,15.81,16.99,,656340.0
2008-01-24,18.04,17.41,16.81,17.05,,543887.0
2008-01-25,18.15,17.98,17.41,17.41,,446053.0
2008-01-28,18.11,18.06,17.36,17.96,,367253.0
2008-01-29,18.2,17.69,17.67,18.2,,462789.0
2008-01-30,18.25,17.42,17.26,17.53,,346280.0
2008-01-31,18.4,18.02,17.17,17.17,,523222.0
2008-02-01,19.2,19.01,18.02,18.02,,320679.0
2008-02-04,19.11,17.8,17.59,19.0,,781884.0
2008-02-05,18.04,17.48,17.36,17.51,,357408.0
2008-02-06,18.27,17.46,17.4,17.59,,345646.0
2008-02-07,18.47,17.91,17.32,17.4,,318974.0
2008-02-08,18.33,17.93,17.68,17.83,,342202.0
2008-02-11,18.24,18.16,17.44,17.86,,236145.0
2008-02-12,19.27,19.01,17.74,18.06,,886589.0
2008-02-13,21.4828,21.19,19.01,19.16,,720988.0
2008-02-14,22.34,21.17,21.13,21.36,,704386.0
2008-02-15,21.21,20.15,19.7,21.06,,473033.0
2008-02-19,21.37,20.89,20.38,20.38,,349776.0
2008-02-20,21.84,21.73,20.71,20.74,,245952.0
2008-02-21,21.93,20.49,20.39,21.91,,210429.0
2008-02-22,20.75,20.03,19.71,20.71,,275919.0
2008-02-25,20.79,20.64,19.63,20.08,,217958.0
2008-02-26,20.9759,20.49,20.37,20.46,,232098.0
2008-02-27,20.65,20.41,19.5,19.81,,276604.0
2008-02-28,20.88,20.4,19.91,20.12,,410220.0
