,ISIN,error
AIR,US0003611052,
ADCT,,No best match available
IWKS,US0010582056,
ALO.2,,No best match available
AAL,US02376R1023,
4267A,,No best match available
CECE,US1251411013,
ARXX,US0077681049,
ASA,BMG3156P1032,
AVX,US0024441075,
PNW,US7234841010,
AAN,US0025353006,
ABT,US0028241000,
ABY.2,,No best match available
SERV.,,No best match available
WDDD,US98159J2006,
ACETQ,US0044461004,
MRCBF,CA6175771014,
ACMTA,US0046162071,
ACU,US0048161048,
AHIX,US0221671003,
ATVI.,,No best match available
BKTI,US05587G1040,
ADX,US0062121043,
AE,,No best match available
AMD,,No best match available
BFTC,,No best match available
ASMIY,USN070451026,
AIM,US00901B1052,
AET,,No best match available
IDAI,US45169P1066,
AEM,CA0084741085,
APD,US0091581068,
AIRT,US0092071010,
EGN1,,No best match available
SO1,,No best match available
ALAN,US0116127020,
ALK,US0116591092,
ATRI,,No best match available
ACV.1,,No best match available
ABS.1,,No best match available
AL.1,,No best match available
IKN,US4517131011,
MATX,,No best match available
ALX,US0147521092,
CGYNQ,US13916P2092,
ACEL,US87509Q1058,
AGMJF,CA0156441077,
0065A,,No best match available
ALCO,,No best match available
ATPT,,No best match available
Y,US0171751003,
AYE,,No best match available
HON,US4385161066,
ALY,,No best match available
AT.2,,No best match available
SWKS,US83088M1027,
APNI,RSAPNIE00336,
GYLD,US04273H1041,
AA.3,,No best match available
SNTO,US8169182057,
HES,US42809H1077,
LCC,,No best match available
AMR1,,No best match available
UHAL,US0235861004,
ABLT,US0245914066,
BEAM,US0737301038,
ABM,US0009571003,
PRI,,No best match available
VBF,US46132L1070,
2388B,FRBNPP014G34,
ECOL,US91732J1025,
AEP,US0255371017,
MNSF,US56418U1016,
AVCS,US03037B1061,
AXP,US0258161092,
AXP1,ARDEUT110046,
AFL,US0010551028,
AM.1,,No best match available
WYE,,No best match available
AIG,US0268747849,
HAIPF,IL0006320183,
ALGI,,No best match available
HYEM,,No best match available
TEEE.,,No best match available
HIST,US3638121083,
AMAC,US0279041018,
ANAT,US0285911055,
APFC,US0287401089,
AMPH.,,No best match available
ARL,US0291741090,
ASEI,,No best match available
AMS,US0295951059,
AMSWA,US0296831094,
TT.2,,No best match available
AMK.2,,No best match available
AVD,US0303711081,
AMN.2,,No best match available
AME,US0311001004,
AMGN,US0311621009,
AMTA,,No best match available
AMPLQ,,No best match available
AP,US0320371034,
AXR,US0321591051,
ASO.1,,No best match available
ADI,,No best match available
ALOG,,No best match available
ANLY,US0326812072,
ANEN,US0327441046,
MOCC,US61945R1005,
ANDR,,No best match available
ANDW,US0344251089,
AGL.1,,No best match available
ANDE,US0341641035,
NBR,BMG6359F1032,
BUD.2,,No best match available
BIW,,No best match available
MXLP,,No best match available
KTO,,No best match available
APA,US0374111054,
ASOE,US0376371052,
APAGF,KYG0471F1090,
APOG,,No best match available
AEP1,,No best match available
AAPL,US0378331005,
AMAT,,No best match available
SSHZ,US82935Q1004,
ATU,US00508X2036,
TREC,,No best match available
AROBF,CA0389162011,
AOXY,US00754B3015,
ADM,US0394831020,
ARDNA,US0397621097,
PNW1,CA89156L1085,
ARCB,,No best match available
ETR1,,No best match available
3ACKH,,No best match available
ARW,US0427351004,
ARTW,,No best match available
AB.H,CA0434201087,
ASH,US0441861046,
ASPN.,,No best match available
ALOT,US04638F1084,
ATRO,US0464331083,
ACLLF,CA0467894006,
SO7,,No best match available
CEVL,,No best match available
ATW,,No best match available
REX,US7616241052,
AULT.,,No best match available
ASAM,,No best match available
ADSK,US0527691069,
DCAI,US2525291025,
ADP,,No best match available
DSIIQ,US24734R1032,
AVHI,US00234P1021,
