CIK,Year,d_income,d_loss,d_increase,d_decrease,d_strong,d_discontinued,d_international,d_focus,d_repurchase,d_service,d_goodwill,d_reset,d_expenditure,d_stress,d_exit,d_tranche,d_accordingly
0000073887,2013,0.5425903,0.36688977,0.4696165,0.4800595,0.25956768,0.33012688,0.23678997,0.23866498,0.41850567,0.28753477,0.30302748,0.23745103,0.4060198,0.1875927,0.20431387,0.31472954,0.26384875
0000865415,2013,0.51887006,0.34492883,0.46373424,0.47034505,0.28066954,0.3455775,0.2518164,0.26261377,0.46320266,0.32446516,0.3163901,0.25355932,0.40770194,0.20774397,0.19487652,0.35391265,0.30005497
0001495479,2013,0.5254583,0.3327082,0.4908755,0.49855614,0.24775566,0.32456794,0.21969427,0.23323552,0.38758087,0.30942044,0.29289928,0.21409422,0.42656416,0.1942943,0.1964698,0.29880303,0.26497382
0000089270,2013,0.516563,0.3556046,0.5166549,0.54697835,0.26770937,0.38523385,0.2428306,0.24590115,0.43044025,0.31423023,0.2888613,0.21288429,0.40585482,0.18673936,0.17077987,0.31323835,0.27265713
0000049754,2013,0.5346316,0.3261956,0.45980498,0.47562894,0.25768605,0.35222176,0.2421547,0.25908276,0.4530574,0.3330165,0.31876212,0.23370698,0.39403722,0.20995739,0.22120984,0.32941553,0.27506936
0001041859,2013,0.53814465,0.3447198,0.49247757,0.5092726,0.25646007,0.34448496,0.22732367,0.23588547,0.4364547,0.28761998,0.2989542,0.22255148,0.40329838,0.18023863,0.18974088,0.3250859,0.2733793
0001037676,2013,0.52988136,0.35693952,0.44520715,0.4746217,0.2491604,0.344883,0.21595679,0.23498644,0.44952413,0.28287873,0.3280231,0.24268873,0.40106794,0.20623447,0.20762764,0.3517681,0.27978233
0000065011,2013,0.56644475,0.33570886,0.51243424,0.5126155,0.2785876,0.35902786,0.24455875,0.25462055,0.42319524,0.319418,0.30427593,0.192062,0.45001248,0.18504083,0.17262132,0.31192395,0.24863558
0000354963,2013,0.5133656,0.3224806,0.4653817,0.47731668,0.23792186,0.3671353,0.20771001,0.22890465,0.4067465,0.39925224,0.29958582,0.2380645,0.38874242,0.16510431,0.19300057,0.28984272,0.2436783
0000811596,2013,0.52443403,0.32902977,0.4715807,0.47807536,0.27599102,0.3418719,0.23756826,0.25583988,0.44529858,0.30980483,0.28790268,0.2296907,0.39477634,0.20265745,0.18801975,0.35108185,0.28873292
0001094739,2013,0.5400152,0.35403425,0.47817945,0.48676318,0.2661927,0.34533757,0.22800648,0.24724323,0.44471475,0.29876667,0.32374597,0.22846413,0.42343208,0.18977779,0.19074367,0.34002087,0.27162224
0001071411,2013,0.5106812,0.3322481,0.43846768,0.4525143,0.24904457,0.35626027,0.24296163,0.24816339,0.4465385,0.3400335,0.3117918,0.23174188,0.39173403,0.1794908,0.20295677,0.35619417,0.2725217
0001010552,2013,0.53348386,0.34428614,0.52726483,0.5406188,0.28041342,0.3512722,0.25152352,0.27107146,0.38496187,0.3334365,0.30094832,0.21346943,0.43662557,0.20326991,0.18716687,0.2965054,0.27151513
0000040888,2013,0.48914298,0.33307922,0.4310693,0.440826,0.21876286,0.32264698,0.21055014,0.23379381,0.41858518,0.2969682,0.28627986,0.24390613,0.40586793,0.19861424,0.19464402,0.3106519,0.27480656
0001383154,2013,0.4581864,0.27909008,0.453882,0.45545876,0.2543112,0.35949317,0.24370055,0.268882,0.3833671,0.45377314,0.26599863,0.24562255,0.40807706,0.18655059,0.17319073,0.30913943,0.27886486
0000815097,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0001521847,2013,0.49810284,0.3211206,0.4453159,0.46556795,0.24457301,0.3108976,0.22907351,0.23601195,0.4301334,0.26953536,0.29086754,0.22483636,0.40194887,0.18798931,0.19267194,0.33931622,0.2823448
0001319161,2013,0.5212744,0.3435194,0.43984896,0.46164,0.24633302,0.33810857,0.23894693,0.23345304,0.454353,0.29700747,0.32022515,0.2354227,0.4041807,0.17743134,0.20244943,0.36735293,0.26449746
0000315852,2013,0.49445215,0.3498225,0.44773418,0.47208378,0.24556373,0.3079103,0.22052398,0.22147417,0.4273447,0.25254193,0.2922439,0.23735552,0.39731598,0.19391224,0.1987334,0.33303893,0.28400704
0000095052,2013,0.5256439,0.35037196,0.45020688,0.46903023,0.2684647,0.3622091,0.24483816,0.25380713,0.4370552,0.29849747,0.31946772,0.22576392,0.38568255,0.20305249,0.20437269,0.32870105,0.27355793
0000719209,2013,0.521795,0.34364083,0.449073,0.48871234,0.24347317,0.3396125,0.22976862,0.22354478,0.43176353,0.28165,0.30329385,0.21821532,0.41398162,0.19563824,0.1850218,0.33459944,0.2916767
0000887596,2013,0.52978945,0.3215547,0.49723282,0.48773694,0.26270136,0.3239828,0.2220311,0.26174635,0.41591957,0.32420897,0.2741797,0.22595043,0.4282939,0.2011853,0.2070886,0.2938408,0.2813921
0000708818,2013,0.5079531,0.34345424,0.5043552,0.50505,0.28174034,0.3373536,0.2236674,0.26632452,0.3804978,0.34344018,0.28131166,0.19888751,0.39899442,0.16260959,0.17489769,0.28064653,0.21832831
0001022225,2013,0.55398655,0.35437697,0.493155,0.5097707,0.25092033,0.34763885,0.21673371,0.23920621,0.42853314,0.29492575,0.318774,0.2327527,0.42022973,0.19646282,0.1860151,0.31215867,0.28069732
0001000180,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0000913165,2013,0.53346676,0.35641772,0.4943968,0.50792587,0.26563028,0.35843027,0.2587427,0.23703885,0.42242858,0.30266237,0.3057742,0.23546162,0.3914147,0.1766317,0.18654048,0.32069898,0.24470639
0001518403,2013,0.50125563,0.35782266,0.48249194,0.51443887,0.24450547,0.31693923,0.21340515,0.21960613,0.41474143,0.25397176,0.2912557,0.22057235,0.40656307,0.18893787,0.18476972,0.31929097,0.26577407
0000006769,2013,0.4755876,0.29924887,0.45048767,0.45082206,0.25307876,0.28814504,0.24248587,0.23295023,0.42492464,0.27039406,0.26604113,0.2155894,0.3985132,0.18473718,0.19104819,0.341382,0.26174852
0000943452,2013,0.5168197,0.32996047,0.48698246,0.49502566,0.25173914,0.3387176,0.22149146,0.22803365,0.4220557,0.31196538,0.2846773,0.2297605,0.41396606,0.19256383,0.1839797,0.31816274,0.26543707
0001099977,2013,0.48961708,0.31478655,0.4579472,0.47240987,0.2654594,0.3349899,0.25847706,0.24774633,0.40240794,0.3122822,0.31073573,0.20659517,0.39267397,0.20100173,0.16524091,0.31428984,0.2741745
0001380277,2013,0.47242963,0.28231013,0.38791382,0.38648167,0.23641591,0.32436195,0.24285997,0.26365358,0.45490408,0.331633,0.28558788,0.22107217,0.3783446,0.19413672,0.19304486,0.33569646,0.30302936
0000906193,2013,0.5337328,0.35341477,0.5121591,0.52019584,0.27409014,0.35263363,0.22612524,0.2300247,0.42918167,0.3165558,0.29670796,0.23325504,0.41853094,0.17933312,0.17366582,0.3314196,0.24838904
0001086319,2013,0.48048565,0.332533,0.44588232,0.47703376,0.23762526,0.32262394,0.22277969,0.23787194,0.43703157,0.27987173,0.293545,0.23833516,0.41673535,0.20640802,0.20368795,0.33580554,0.29714003
0001398702,2013,0.48826125,0.3126461,0.44061932,0.42767376,0.2707019,0.3061978,0.29322314,0.29272217,0.4000497,0.29044533,0.3102428,0.19343717,0.41226655,0.23571692,0.22328407,0.33086753,0.2970565
0000869986,2013,0.52484775,0.3464191,0.46427444,0.4709927,0.2723216,0.34013796,0.2465368,0.2582741,0.45963898,0.31312343,0.3192277,0.25990131,0.39925244,0.2034812,0.2061206,0.3690726,0.28588596
0001306830,2013,0.51780605,0.3460986,0.49022648,0.50601983,0.29990694,0.36193234,0.2679602,0.26694617,0.43212327,0.2999201,0.3027997,0.22901472,0.3735577,0.21985607,0.2014498,0.34011617,0.2824303
0001442505,2013,0.4773075,0.3226269,0.44890147,0.45519945,0.2542289,0.35269037,0.25705498,0.2706861,0.4403834,0.35950395,0.30828753,0.25010282,0.3825571,0.20188458,0.22402295,0.35033384,0.29208636
0001058623,2013,0.52989393,0.34878,0.43104714,0.46213073,0.24208425,0.33950517,0.23997945,0.24300137,0.42696413,0.29398754,0.35196826,0.2308847,0.39501214,0.21157071,0.20763029,0.32156605,0.28426036
0000829224,2013,0.5555945,0.3516655,0.5253224,0.530903,0.29916176,0.346654,0.2649914,0.2710227,0.41979912,0.30284324,0.31735465,0.20642099,0.41234484,0.19466323,0.19906573,0.31947106,0.2657496
0000793733,2013,0.48788598,0.35184214,0.45888534,0.48459196,0.21170542,0.35073853,0.20998868,0.1922657,0.39204654,0.33164904,0.2826977,0.25038597,0.3991204,0.17301524,0.20980145,0.28903404,0.22311492
0000830052,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0001337013,2013,0.5016803,0.33921105,0.43666303,0.45544305,0.23072717,0.33968997,0.21431544,0.23894356,0.41646504,0.31542835,0.30658647,0.23711295,0.39581597,0.19793665,0.19682159,0.31988683,0.26866385
0001434842,2013,0.5008776,0.3344754,0.48205626,0.49027127,0.25460592,0.3380753,0.22699912,0.2368722,0.42613786,0.32757062,0.28913593,0.24466337,0.40380424,0.19714619,0.19779678,0.33472356,0.26084462
0000943034,2013,0.5378032,0.34973556,0.48686278,0.51182073,0.2706389,0.36436749,0.24519129,0.26040864,0.39950812,0.32289338,0.30865163,0.2134233,0.40742686,0.19741778,0.18564342,0.28856817,0.26455462
0000945699,2013,0.53997153,0.3497729,0.4743176,0.49054253,0.25473702,0.34649202,0.21741706,0.24520396,0.42218497,0.29254398,0.31274766,0.24658076,0.42869505,0.19939105,0.19112651,0.31886628,0.2844358
0001128252,2013,0.40939865,0.25091442,0.3997156,0.39873335,0.24981183,0.33305,0.27748975,0.26861116,0.40789443,0.34901774,0.2351311,0.2384544,0.34480006,0.2223919,0.16054443,0.32644913,0.29696313
0001490636,2013,0.55523825,0.35090256,0.49125668,0.49951833,0.2482555,0.34410056,0.2017631,0.21995117,0.43633053,0.28201902,0.28733015,0.21160977,0.4138513,0.16076481,0.19082852,0.3253213,0.24607718
0001437106,2013,0.540216,0.37802374,0.44228938,0.4768107,0.24489392,0.39614546,0.24046613,0.23791695,0.4537522,0.33632255,0.3337219,0.24212427,0.39453194,0.19905324,0.21241735,0.3116463,0.27052054
0000945436,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0000039899,2013,0.56663126,0.35404247,0.50862175,0.51861066,0.27640027,0.35820386,0.2538243,0.2678767,0.41160962,0.32604927,0.3255512,0.2098406,0.4265344,0.21168207,0.20100491,0.31210968,0.27233776
0001325281,2013,0.53392637,0.33724958,0.48413283,0.49084336,0.23189667,0.33615398,0.20737329,0.20213212,0.42978284,0.26125902,0.30145147,0.21706556,0.40453088,0.16147256,0.19233742,0.3416682,0.23207933
0001110647,2013,0.5090553,0.37139925,0.45537543,0.47802263,0.23818408,0.3508174,0.22091961,0.23093246,0.43225297,0.28161094,0.32090738,0.23633827,0.38794553,0.18375008,0.20438147,0.3307375,0.2484049
0000747540,2013,0.52807564,0.3242721,0.48939905,0.48588642,0.29266712,0.35397846,0.2596117,0.28134802,0.43305632,0.3250084,0.28056142,0.23174539,0.40067723,0.20487297,0.18846305,0.31711763,0.2868772
0000851310,2013,0.53830427,0.34856948,0.49444902,0.5075679,0.27568048,0.34341767,0.25509766,0.25748095,0.4140553,0.3250246,0.3206325,0.22447924,0.42221165,0.21008477,0.19267137,0.30722225,0.29290053
0000944765,2013,0.5065284,0.34630224,0.45456973,0.46945316,0.24068844,0.3447932,0.21587266,0.23101096,0.41666096,0.3149789,0.32029602,0.23767208,0.39748126,0.189205,0.18253787,0.2907351,0.26186606
0001419428,2013,0.46388143,0.3117881,0.42138907,0.44074136,0.23586775,0.30722442,0.20264316,0.23116429,0.4386565,0.29452476,0.267941,0.26975504,0.37950537,0.17877516,0.19238049,0.35283977,0.26829067
0001020214,2013,0.48290825,0.31005278,0.44640568,0.46163702,0.26012474,0.36215782,0.2690761,0.25970656,0.43719447,0.3122917,0.30766356,0.24168557,0.40213558,0.21461913,0.1934795,0.3557522,0.2837801
0000929994,2013,0.53403276,0.3313913,0.4522599,0.4634405,0.21807887,0.33341417,0.21318418,0.22486785,0.43941686,0.31320283,0.29496524,0.25122586,0.39048314,0.19167201,0.21057196,0.35263285,0.26286072
0001295947,2013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0000080420,2013,0.5487056,0.35135043,0.48009887,0.48927498,0.26495248,0.34149432,0.2539694,0.25303987,0.3866188,0.30182192,0.31763744,0.20748354,0.4399827,0.20889021,0.18714578,0.30611488,0.2814756
0001533924,2013,0.5103904,0.34048045,0.44846642,0.47781652,0.2269872,0.3282764,0.22061937,0.20698136,0.451838,0.2580717,0.30234644,0.22547331,0.4028467,0.17268185,0.19800232,0.3567346,0.27211502
0001013871,2013,0.52012926,0.33582243,0.44929153,0.46521503,0.27141893,0.3230402,0.25936273,0.26555493,0.43338758,0.2895696,0.31712344,0.23674825,0.39214307,0.23593742,0.2006014,0.34249556,0.30361062
0001475899,2013,0.5020934,0.32976946,0.39138973,0.42243436,0.22781898,0.3499755,0.224755,0.23644154,0.49020413,0.28785065,0.3171627,0.22987288,0.38167885,0.18911587,0.21245612,0.37732306,0.2869753
0001509589,2013,0.5222448,0.3571037,0.45338798,0.47986394,0.23333654,0.3276588,0.22262432,0.21546417,0.42534304,0.2637781,0.31513622,0.22516224,0.42011064,0.18669862,0.2013907,0.32929805,0.26554254
0001013488,2013,0.5132037,0.31100482,0.48862806,0.48162973,0.26073775,0.31613284,0.22814742,0.2593701,0.3884804,0.32521674,0.2739576,0.22467835,0.41491947,0.20791689,0.20815085,0.2827828,0.28621113
0000928054,2013,0.49925116,0.33118382,0.525777,0.52859885,0.29850525,0.32930827,0.2550318,0.26582605,0.4132679,0.3109452,0.29146045,0.22420125,0.4120192,0.20805202,0.1838603,0.31059927,0.27825984
0001289460,2013,0.5381639,0.3378835,0.4894434,0.4896462,0.26622954,0.32399067,0.22934686,0.24830976,0.4254727,0.31840625,0.30150935,0.23052627,0.4026178,0.20908757,0.21207957,0.29784238,0.28120172
0001052595,2013,0.5228124,0.3551007,0.45388055,0.4723059,0.25128105,0.34990004,0.23694003,0.25315315,0.39001653,0.31669793,0.33644542,0.22313991,0.3843194,0.20011993,0.21034747,0.29847807,0.27304554
0000859737,2013,0.5184638,0.35265055,0.48524925,0.5039181,0.26007277,0.3648028,0.22705294,0.2468945,0.43825698,0.30317998,0.30968586,0.23850405,0.41679895,0.19083014,0.18780686,0.34350812,0.2721391
0001138951,2013,0.54808456,0.36792192,0.51211673,0.53162366,0.29361492,0.35330373,0.23081174,0.2592248,0.3861455,0.2964336,0.30135778,0.22386217,0.41618612,0.20624661,0.174209,0.2812442,0.28498295
0001073362,2013,0.47240984,0.32484013,0.4674216,0.46566507,0.2854745,0.33971116,0.29743192,0.29485217,0.4540397,0.31526637,0.27711535,0.22736998,0.3860436,0.18896271,0.21985586,0.3672427,0.27425724
0001282543,2013,0.5216277,0.41340926,0.4679561,0.48403636,0.25409353,0.33555573,0.23719783,0.24834758,0.41478002,0.29674003,0.3222995,0.24036363,0.40019792,0.22371277,0.21744744,0.3295471,0.28882357
0001394872,2013,0.50915897,0.33128583,0.42693594,0.43539566,0.26262668,0.33993572,0.27907753,0.2769978,0.45159173,0.29315594,0.31850845,0.22221138,0.39320186,0.22103488,0.19936611,0.3306778,0.30848494
0001008817,2013,0.55557925,0.33802223,0.47337347,0.49015674,0.24319941,0.34036443,0.23253503,0.25939214,0.38052318,0.33562854,0.3089209,0.20827304,0.4387109,0.202633,0.18022382,0.28845707,0.2803438
0001021853,2013,0.4955869,0.358729,0.49103007,0.512232,0.23772174,0.3698228,0.23670149,0.2378483,0.46217337,0.30249876,0.3016591,0.2349727,0.40852162,0.18899858,0.19004413,0.33841133,0.27869081
0000882873,2013,0.5297463,0.35168692,0.4876529,0.5066983,0.25225204,0.37677234,0.2224488,0.25580522,0.43995205,0.3010745,0.326187,0.24048597,0.42480803,0.20944965,0.19639581,0.32891342,0.2716447
0001101169,2013,0.5090583,0.3584118,0.4555088,0.47718903,0.25409678,0.3531774,0.2268675,0.24181198,0.44668126,0.29990482,0.3019439,0.24156108,0.3835775,0.18522355,0.20184615,0.33640233,0.25759202
0000317771,2013,0.55746245,0.37460658,0.45016262,0.4652876,0.26450437,0.33836535,0.23657152,0.26166904,0.41638812,0.32840973,0.3242898,0.22242975,0.41049638,0.20435296,0.20096278,0.2936711,0.28102067
0000712034,2013,0.53435135,0.35521534,0.4785077,0.48638475,0.28126413,0.36438408,0.26090923,0.2615973,0.43634778,0.30806205,0.32020015,0.2354405,0.3951218,0.20097852,0.20616283,0.3331992,0.27711183
0001057083,2013,0.54785705,0.3468107,0.462901,0.47818354,0.25087193,0.34325233,0.2186647,0.24259937,0.42804104,0.2960405,0.32578835,0.23167264,0.41729704,0.19364859,0.19685306,0.31258342,0.26607627
0000832428,2013,0.5257912,0.31917372,0.47455892,0.47454664,0.24940649,0.34759596,0.2525767,0.27452475,0.4040785,0.35954577,0.30408055,0.21796437,0.4217612,0.21393046,0.20350593,0.31196392,0.29356882
0001373835,2013,0.5142069,0.31069127,0.49987906,0.50891954,0.28149354,0.3246236,0.25821808,0.25858504,0.40827283,0.30359435,0.27288413,0.21589962,0.4029077,0.20220561,0.20362386,0.3340061,0.2802154
0001368900,2013,0.53555095,0.37341997,0.4446319,0.47927484,0.23931311,0.36006314,0.23041701,0.23976633,0.42551154,0.29774597,0.33602756,0.2272554,0.39899006,0.20668444,0.21055393,0.31553432,0.27138844
0000311471,2013,0.48687747,0.27840176,0.4860428,0.46247098,0.2781387,0.27881712,0.29848278,0.25906524,0.3771568,0.2708428,0.2640419,0.20610546,0.42749274,0.21253656,0.19396877,0.3364801,0.2808437
0001378453,2013,0.52886426,0.34920734,0.5042665,0.5095476,0.25861254,0.34010202,0.23798817,0.25851747,0.39545757,0.32645503,0.30548695,0.22764148,0.4270198,0.2247176,0.20281829,0.30455586,0.28681198
0001321646,2013,0.5266989,0.35999218,0.4822654,0.48854232,0.2505976,0.32738188,0.22888939,0.23018764,0.41390648,0.27932766,0.28574616,0.23359403,0.3956161,0.20273884,0.19617772,0.33522162,0.2569706
0000318996,2013,0.47729185,0.33106825,0.41975543,0.43441364,0.25277677,0.29051366,0.25382683,0.26360306,0.36014867,0.2985934,0.3494722,0.24430679,0.39015305,0.2815866,0.1924033,0.25703442,0.3510183
0001023291,2013,0.51191944,0.31390294,0.45392874,0.46450937,0.25706932,0.32020473,0.24446069,0.24961963,0.4436403,0.31964147,0.2867472,0.26439157,0.3895033,0.23389077,0.19813305,0.3670444,0.30120006
0000922475,2013,0.51429284,0.32550165,0.4571939,0.47196516,0.22385885,0.33390728,0.21845885,0.24541025,0.4101748,0.31588313,0.275186,0.24320276,0.40066046,0.21863762,0.19258097,0.34518942,0.26050684
0001347613,2013,0.45396602,0.33002412,0.4276961,0.4476426,0.24093682,0.35186118,0.24656159,0.24726978,0.4650256,0.28411448,0.28207996,0.21110557,0.3815949,0.19777252,0.18675497,0.35849023,0.27630615
0001349436,2013,0.49830902,0.33790067,0.45357096,0.4806491,0.25431424,0.34017396,0.23819937,0.24028078,0.4417697,0.28192782,0.31470978,0.2175048,0.41200536,0.20133257,0.19190688,0.3401263,0.29036468
0001471458,2013,0.5525146,0.3461603,0.49161223,0.49557272,0.2666089,0.3372517,0.22062787,0.23972087,0.4275711,0.28020924,0.2938024,0.21037978,0.41981447,0.17886426,0.1924719,0.31610087,0.26091766
0000058492,2013,0.50161123,0.33158508,0.49270728,0.4855587,0.32448396,0.35012305,0.26279384,0.29069325,0.41383597,0.29628626,0.26565102,0.23454966,0.38445634,0.2192666,0.20274766,0.3161805,0.29976556
0000015847,2013,0.51456463,0.29622453,0.4778499,0.48130006,0.237865,0.34670374,0.20438753,0.22141308,0.37508884,0.34005487,0.26099518,0.19490442,0.43681842,0.15138385,0.15502732,0.26729867,0.21038707
0001005229,2013,0.51886564,0.33829468,0.4715759,0.47704148,0.27102503,0.34195203,0.25571686,0.2668765,0.44614375,0.3051957,0.30583864,0.25070947,0.41186458,0.22075762,0.20318691,0.34033805,0.30317816
0001421289,2013,0.49494925,0.3161275,0.41704208,0.43588063,0.25049633,0.34750792,0.266986,0.26340616,0.41720477,0.3080482,0.31672898,0.24326801,0.40740573,0.23792803,0.18812814,0.30729902,0.3366794
0001056923,2013,0.49840984,0.32247356,0.47370085,0.46043566,0.2735858,0.32412377,0.2574872,0.27639282,0.41750658,0.3807587,0.3125548,0.22093509,0.40891066,0.19645621,0.19504666,0.31028658,0.27445048
0001376139,2013,0.49066198,0.33476773,0.45040086,0.47036943,0.23419555,0.32966617,0.21632837,0.21522819,0.43414417,0.27830195,0.29637977,0.23302609,0.37902653,0.17632863,0.19910099,0.34772807,0.2667345
0001042825,2013,0.5264408,0.32421038,0.44745705,0.45934284,0.2648026,0.3567595,0.25022632,0.24460638,0.45053396,0.31353584,0.29747924,0.23967144,0.41332173,0.18405735,0.19144617,0.3465346,0.28592995
